rank,gid,role,priority_score,why
20,100000008748914100,distributor,0.8378,"distributor: Веер на 13 получателей (4.5 млн ₸; порог ≥10), входящих от 2 | приоритет: близость к seed по потоку денег — 96%; объём денег — 99%"
21,100000007594394100,coordinator,0.8367,"coordinator: Получает от 2 точек сбора — второй уровень консолидации; вход 6 (395 тыс ₸), выход 1; сам — сборщик | приоритет: сила роли — 90%; близость к seed по потоку денег — 70%"
22,100000005382566100,consolidator,0.8355,"consolidator: Сбор от 7 разных плательщиков (393 тыс ₸; порог ≥5), отдаёт дальше 13% (seed: входящие занижены выгрузкой) | приоритет: близость к seed по потоку денег — 100%; объём денег — 84%"
23,100000004299488100,consolidator,0.8339,"consolidator: Сбор от 6 разных плательщиков (1.7 млн ₸; порог ≥5), отдаёт дальше 20% | приоритет: близость к seed по потоку денег — 94%; объём денег — 97%"
24,100000004351795100,coordinator,0.8309,"coordinator: Верхний 1% по посредничеству, связан с 4 ключевыми узлами; вход 3 (118 тыс ₸), выход 14; сам — распределитель | приоритет: близость к seed по потоку денег — 81%; объём денег — 97%"
25,100000002781227100,transit,0.8286,transit: Отдаёт дальше 111% полученного (191 тыс ₸ → 212 тыс ₸); 81% исходящих по датам близки к поступлениям (0–2 дн.; суммы не сопоставлены) | приоритет: близость к seed по потоку денег — 100%; сила роли — 60%
26,100000006518161100,transit,0.8273,transit: Отдаёт дальше 100% полученного (594 тыс ₸ → 596 тыс ₸); 71% исходящих по датам близки к поступлениям (0–2 дн.; суммы не сопоставлены) | приоритет: близость к seed по потоку денег — 92%; объём денег — 90%
27,100000007055802100,consolidator,0.8258,"consolidator: Сбор от 6 разных плательщиков (2.0 млн ₸; порог ≥5), отдаёт дальше 30% | приоритет: близость к seed по потоку денег — 93%; объём денег — 98%"
28,100000004070318100,coordinator,0.8226,"coordinator: Верхний 1% по посредничеству, связан с 8 ключевыми узлами; вход 4 (207 тыс ₸), выход 19; сам — распределитель | приоритет: близость к seed по потоку денег — 81%; объём денег — 89%"
29,100000008686313100,consolidator,0.822,"consolidator: Сбор от 6 разных плательщиков (1.9 млн ₸; порог ≥5), отдаёт дальше 17% | приоритет: близость к seed по потоку денег — 90%; объём денег — 97%"
30,100000008489922100,distributor,0.8181,"distributor: Веер на 36 получателей (3.8 млн ₸; порог ≥10), входящих от 3 | приоритет: близость к seed по потоку денег — 70%; сила роли — 80%"
31,100000003701161100,transit,0.8166,transit: Отдаёт дальше 23% полученного (1.5 млн ₸ → 349 тыс ₸); 100% исходящих по датам близки к поступлениям (0–2 дн.; суммы не сопоставлены) | приоритет: близость к seed по потоку денег — 89%; объём денег — 96%
32,100000008304139100,distributor,0.8157,"distributor: Веер на 24 получателей (1.7 млн ₸; порог ≥10), входящих от 4 | приоритет: близость к seed по потоку денег — 70%; сила роли — 80%"
33,100000004071080100,consolidator,0.8156,"consolidator: Сбор от 9 разных плательщиков (239 тыс ₸; порог ≥5), отдаёт дальше 19% | приоритет: близость к seed по потоку денег — 87%; сила роли — 81%"
34,100000008710791100,distributor,0.8149,"distributor: Веер на 23 получателей (5.5 млн ₸; порог ≥10), входящих от 3 | приоритет: близость к seed по потоку денег — 70%; сила роли — 80%"
35,100000006889963100,transit,0.812,transit: Отдаёт дальше 31% полученного (1.4 млн ₸ → 443 тыс ₸); 100% исходящих по датам близки к поступлениям (0–2 дн.; суммы не сопоставлены) | приоритет: близость к seed по потоку денег — 93%; объём денег — 96%
36,100000004603109100,transit,0.8073,transit: Отдаёт дальше 15% полученного (2.7 млн ₸ → 400 тыс ₸); 100% исходящих по датам близки к поступлениям (0–2 дн.; суммы не сопоставлены) | приоритет: близость к seed по потоку денег — 95%; объём денег — 98%
37,100000001697501100,distributor,0.8039,"distributor: Веер на 38 получателей (1.5 млн ₸; порог ≥10), входящих от 3 | приоритет: близость к seed по потоку денег — 73%; сила роли — 80%"
38,100000005171642100,transit,0.8019,transit: Отдаёт дальше 98% полученного (697 тыс ₸ → 684 тыс ₸); 96% исходящих по датам близки к поступлениям (0–2 дн.; суммы не сопоставлены) | приоритет: близость к seed по потоку денег — 87%; объём денег — 91%
39,100000008736940100,transit,0.7944,transit: Отдаёт дальше 40% полученного (451 тыс ₸ → 182 тыс ₸); 100% исходящих по датам близки к поступлениям (0–2 дн.; суммы не сопоставлены) | приоритет: близость к seed по потоку денег — 99%; объём денег — 86%
40,100000003718221100,transit,0.7939,transit: Отдаёт дальше 121% полученного (350 тыс ₸ → 424 тыс ₸); 80% исходящих по датам близки к поступлениям (0–2 дн.; суммы не сопоставлены) | приоритет: близость к seed по потоку денег — 83%; объём денег — 85%
41,100000007629096100,transit,0.7925,transit: Отдаёт дальше 71% полученного (1.1 млн ₸ → 765 тыс ₸); 93% исходящих по датам близки к поступлениям (0–2 дн.; суммы не сопоставлены) | приоритет: близость к seed по потоку денег — 80%; объём денег — 94%
42,100000003923946100,transit,0.7921,transit: Отдаёт дальше 239% полученного (282 тыс ₸ → 675 тыс ₸); 100% исходящих по датам близки к поступлениям (0–2 дн.; суммы не сопоставлены) | приоритет: близость к seed по потоку денег — 94%; объём денег — 91%
43,100000008346837100,coordinator,0.7911,"coordinator: Верхний 1% по посредничеству, связан с 4 ключевыми узлами; вход 9 (254 тыс ₸), выход 25; сам — распределитель | приоритет: объём денег — 95%; близость к seed по потоку денег — 59%"
44,100000005578559100,distributor,0.7907,"distributor: Веер на 21 получателей (893 тыс ₸; порог ≥10), входящих от 2 | приоритет: сила роли — 80%; объём денег — 93%"
45,100000005660203100,transit,0.7893,transit: Отдаёт дальше 7% полученного (573 тыс ₸ → 41 тыс ₸); 100% исходящих по датам близки к поступлениям (0–2 дн.; суммы не сопоставлены) | приоритет: близость к seed по потоку денег — 91%; объём денег — 89%
46,100000008723830100,transit,0.7886,transit: Отдаёт дальше 99% полученного (460 тыс ₸ → 455 тыс ₸); 100% исходящих по датам близки к поступлениям (0–2 дн.; суммы не сопоставлены) | приоритет: близость к seed по потоку денег — 88%; объём денег — 87%
47,100000005933757100,distributor,0.7875,"distributor: Веер на 34 получателей (3.0 млн ₸; порог ≥10), входящих от 4 | приоритет: сила роли — 80%; объём денег — 99%"
48,100000002224132100,consolidator,0.7874,"consolidator: Сбор от 5 разных плательщиков (4.0 млн ₸; порог ≥5), отдаёт дальше 307% | приоритет: близость к seed по потоку денег — 99%; объём денег — 100%"
49,100000005473151100,transit,0.7872,transit: Отдаёт дальше 18% полученного (1.2 млн ₸ → 225 тыс ₸); 91% исходящих по датам близки к поступлениям (0–2 дн.; суммы не сопоставлены) | приоритет: близость к seed по потоку денег — 82%; объём денег — 95%
50,100000002267998100,transit,0.7861,transit: Отдаёт дальше 265% полученного (420 тыс ₸ → 1.1 млн ₸); 74% исходящих по датам близки к поступлениям (0–2 дн.; суммы не сопоставлены) | приоритет: близость к seed по потоку денег — 87%; объём денег — 94%
